OMNIWeb Plus Browser Results

Listing for omni_min data from 20140218 to 20140223
Selected parameters:
 1 ID for IMF spacecraft
 2 Field magnitude average, nT
 3 BZ, nT (GSM)
 4 Speed, km/s
 5 Proton Density, n/cc
 6 Proton Temperature, K
 7 Flow pressure, nPa

YYYY DOY HR MN  1      2       3       4      5        6     7 
2014  49  3 51 51    3.82    1.16   343.7   1.93   57991.  0.46
2014  49  3 52 51    3.84    1.45   343.7   1.93   57991.  0.46
2014  49  3 53 51    4.03    1.83   343.7   1.93   57991.  0.46
2014  49  3 54 51    4.03    1.59   348.3   1.96   41488.  0.48
2014  49  3 55 51    4.00    1.54   348.1   1.96   42603.  0.48
2014  49  3 56 51    4.04    1.19 99999.9 999.99 9999999. 99.99
2014  49  3 57 51    3.95    1.83 99999.9 999.99 9999999. 99.99
2014  49  3 58 51    3.95    1.92   351.7   2.03   52081.  0.50
2014  49  3 59 51    3.96    1.87   351.9   2.07   53264.  0.51
2014  49  4  0 51    3.95    1.80   349.3   2.03   42483.  0.50
2014  49  4  1 51    3.94    1.79   348.0   2.02   44013.  0.49
2014  49  4  2 51    3.92    1.75   344.8   1.99   47976.  0.47
2014  49  4  3 51    3.96    1.71   340.0   1.99   39001.  0.46
2014  49  4  4 51    3.96    1.53   342.6   1.99   42164.  0.47
2014  49  4  5 51    3.98    1.63   345.7   1.99   44209.  0.48
2014  49  4  6 51    3.99    1.75   346.1   1.89   33595.  0.45
2014  49  4  7 51    3.99    1.76   345.2   1.85   33231.  0.44
2014  49  4  8 51    3.97    1.83   348.2   1.95   38525.  0.47
2014  49  4  9 51    3.99    1.80   352.9   2.02   33819.  0.50
2014  49  4 10 51    3.94    1.80   354.2   1.80   39986.  0.45
2014  49  4 11 51    3.92    1.90   353.1   1.97   43043.  0.49
2014  49  4 12 51    3.93    1.86   355.5   1.97   41935.  0.50
2014  49  4 13 51    3.97    1.83   348.2   1.85   35282.  0.45
2014  49  4 14 51    3.93    1.71   343.6   1.85   35194.  0.44
2014  49  4 15 51    3.94    1.71   351.3   1.99   31769.  0.49
2014  49  4 16 51    3.97    1.49   350.8   1.87   27707.  0.46
2014  49  4 17 51    3.95    1.34   343.2   2.02   40490.  0.48
2014  49  4 18 51    3.94    1.33   343.2   2.02   40490.  0.48
2014  49  4 19 51    3.94    1.56   356.3   2.13   43394.  0.54
2014  49  4 20 51    3.96    1.69   356.8   2.16   49014.  0.55
2014  49  4 21 51    3.95    1.58   348.2   2.01   38240.  0.49
2014  49  4 22 51    3.99    1.80   346.8   2.11   33506.  0.51
2014  49  4 23 51    3.93    1.84   348.2   2.02   36039.  0.49
2014  49  4 24 51    3.95    1.90   353.0   2.02   40713.  0.50
2014  49  4 25 51    3.95    1.98   365.1   2.17   49677.  0.58
2014  49  4 26 51    3.95    1.87   345.9   2.10   42936.  0.50
2014  49  4 27 51    3.94    2.08   345.9   2.10   42936.  0.50
2014  49  4 28 51    3.95    2.13   347.0   2.13   45894.  0.51
2014  49  4 29 51    3.97    1.93   350.8   2.20   55016.  0.54
2014  49  4 30 51    4.00    2.11   354.4   2.29   54187.  0.58
2014  49  4 31 51    3.87    2.23   364.2   2.14   43607.  0.57
2014  49  4 32 51    3.88    1.80   367.5   2.03   38817.  0.55
2014  49  4 33 51    3.92    1.86   349.4   2.27   68018.  0.55
2014  49  4 34 51    3.89    1.68   349.4   2.27   68018.  0.55
2014  49  4 35 51    3.90    1.45   344.1   2.06   44990.  0.49
2014  49  4 36 51    3.90    1.47   346.4   2.01   43603.  0.48
2014  49  4 37 51    3.82    1.87   353.0   1.98   48451.  0.49
2014  49  4 38 51    3.82    1.96   354.8   1.98   50286.  0.50
2014  49  4 39 51    3.90    1.60   347.0   1.94   35197.  0.47
2014  49  4 40 51    3.87    1.81   347.0   1.94   35197.  0.47
2014  49  4 41 51    3.85    1.93   358.2   2.34   65287.  0.60
2014  49  4 42 51    3.87    1.94   355.6   2.23   60195.  0.56
2014  49  4 43 51    3.83    1.96   348.5   1.92   46287.  0.47
